frame,x_position,y_position,velocity,acceleration
1,66,105,1.0,0.0
2,66,105,0.0,-1.0
3,66,105,0.0,0.0
4,65,104,1.4142135623730951,1.4142135623730951
5,65,103,1.0,-0.41421356237309515
6,65,103,0.0,-1.0
7,65,104,1.0,1.0
8,66,104,1.0,0.0
9,65,104,1.0,0.0
10,64,103,1.4142135623730951,0.41421356237309515
11,64,103,0.0,-1.4142135623730951
12,64,103,0.0,0.0
13,64,103,0.0,0.0
14,65,103,1.0,1.0
15,65,102,1.0,0.0
16,65,102,0.0,-1.0
17,65,102,0.0,0.0
18,65,102,0.0,0.0
19,65,102,0.0,0.0
20,65,103,1.0,1.0
21,65,103,0.0,-1.0
22,64,103,1.0,1.0
23,63,102,1.4142135623730951,0.41421356237309515
24,63,103,1.0,-0.41421356237309515
25,63,103,0.0,-1.0
26,63,102,1.0,1.0
27,63,102,0.0,-1.0
28,64,102,1.0,1.0
29,64,102,0.0,-1.0
30,63,101,1.4142135623730951,1.4142135623730951
31,62,101,1.0,-0.41421356237309515
32,62,101,0.0,-1.0
33,63,102,1.4142135623730951,1.4142135623730951
34,64,102,1.0,-0.41421356237309515
35,63,101,1.4142135623730951,0.41421356237309515
36,63,101,0.0,-1.4142135623730951
37,62,101,1.0,1.0
38,63,101,1.0,0.0
39,62,102,1.4142135623730951,0.41421356237309515
40,63,101,1.4142135623730951,0.0
41,62,101,1.0,-0.41421356237309515
42,63,101,1.0,0.0
43,63,101,0.0,-1.0
44,63,101,0.0,0.0
45,62,100,1.4142135623730951,1.4142135623730951
46,63,100,1.0,-0.41421356237309515
47,62,100,1.0,0.0
48,63,100,1.0,0.0
49,63,101,1.0,0.0
50,63,100,1.0,0.0
51,63,100,0.0,-1.0
52,62,100,1.0,1.0
53,63,100,1.0,0.0
54,63,100,0.0,-1.0
55,63,99,1.0,1.0
56,63,99,0.0,-1.0
57,63,100,1.0,1.0
58,63,100,0.0,-1.0
59,63,100,0.0,0.0
60,63,100,0.0,0.0
61,62,100,1.0,1.0
62,62,100,0.0,-1.0
63,62,100,0.0,0.0
64,63,101,1.4142135623730951,1.4142135623730951
65,62,101,1.0,-0.41421356237309515
66,62,101,0.0,-1.0
67,62,101,0.0,0.0
68,61,100,1.4142135623730951,1.4142135623730951
69,61,99,1.0,-0.41421356237309515
70,61,99,0.0,-1.0
71,60,99,1.0,1.0
72,59,99,1.0,0.0
73,59,99,0.0,-1.0
74,59,99,0.0,0.0
75,60,100,1.4142135623730951,1.4142135623730951
76,61,100,1.0,-0.41421356237309515
77,61,101,1.0,0.0
78,60,99,2.23606797749979,1.2360679774997898
79,59,99,1.0,-1.2360679774997898
80,59,98,1.0,0.0
81,59,97,1.0,0.0
82,59,98,1.0,0.0
83,59,98,0.0,-1.0
84,60,97,1.4142135623730951,1.4142135623730951
85,60,97,0.0,-1.4142135623730951
86,59,97,1.0,1.0
87,60,98,1.4142135623730951,0.41421356237309515
88,59,98,1.0,-0.41421356237309515
89,60,98,1.0,0.0
90,59,97,1.4142135623730951,0.41421356237309515
91,59,96,1.0,-0.41421356237309515
92,59,95,1.0,0.0
93,59,95,0.0,-1.0
94,59,95,0.0,0.0
95,59,95,0.0,0.0
